full_id,osm_id,osm_type,historic,plaque:type,name2,name1,artwork_type,person:death,person:name,material,width,website,ref:CRFOP,natural,denotation,circumference,inscription:url,layer,tourism,source_ref,flood_mark,flood_date,source:name,url,memorial:type,tower:type,man_made,wikipedia:pl,entrance,location,name:fa,power,backrest,amenity,subject:wikipedia,denomination,tomb,religion,description2,wheelchair:description,wheelchair,toilets:wheelchair,noexit,inscription,image,description,artist_name,wikipedia,wikidata,subject:wikidata,start_date,name:pl,name:en,name:de,name,memorial
n9122712932,"9122712932",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kazimierz Rafalik,pl:Pomnik 600-lecia bitwy pod Grunwaldem w Poznaniu,Q11823092,,2010-07-15,,,,600-lecie bitwy pod Grunwaldem,stone
n9122712933,"9122712933",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wiesław Koronowski,pl:Pomnik Karola Marcinkowskiego w Poznaniu (I LO),Q4343197,,2005-05-14,,,,Karol Marcinkowski,
n9124791227,"9124791227",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gen. Dezydery Chłapowski,stone
n9124791229,"9124791229",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Św. Maksymilian Kolbe,plaque
n9124791230,"9124791230",node,memorial,,Ks. Bogdan Podhalański,30. rocznica działalności duszpasterskiej proboszcza ks. kan. Stanisława Szymkowiaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 tablice pamięci,,,,,,,,,,plaque
n9124791231,"9124791231",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamień z 1000-letniej Katedry,plaque
n9124791232,"9124791232",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matka Boża Królowa Świata,statue
n9124791235,"9124791235",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siostra zakonna,statue
n9124791236,"9124791236",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Św. Józef,statue
n9124791238,"9124791238",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1726",,,,Ks. Wojciech Reuth,plaque
n9124791239,"9124791239",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tablica w języku łacińskim,,,,,,,,,,plaque
n9124791240,"9124791240",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.11.1879-8.1.1940 / Ks. Kazimierz Szreybrowski kanonik Kapituły Metropolitalnej, proboszcz parafii archikatedralnej zamordowany przez hitlerowców w Forcie VII w Poznaniu",,,,,,,,,,,Ks. Kazimierz Szreybrowski,plaque
n9124866677,"9124866677",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jezus Chrystus Dobry Pasterz,statue
n9124884180,"9124884180",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klaudyna Potocka,plaque
n9125031504,"9125031504",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1994",,,,Kwatera żołnierzy Wehrmachtu,plaque
n9125031505,"9125031505",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rzekł Jezus: Słowa, które ja Wam mówię, duchem są i żywotem. / Par. Ewang.-Aug. Ew. Św. Jana VI.63",,,,,,,,,,,Jezus Chrystus,
n9125031508,"9125031508",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matka Boża,statue
n9125954186,"9125954186",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tu spoczywa w pięciu mogiłach 1008 Żydów - ofiar terroru hitlerowskiego zamordowanych i zmarłych w latach 1939-1945,,,,,,,,,,,Kwatera żydowska,plaque
n9127305417,"9127305417",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Św. Antoni,statue
n9127646191,"9127646191",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matuchno broń nas,,,,,,,,,,,Matka Boża Królowa Świata,statue
n9127717927,"9127717927",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catholic,,christian,,,,,,,,,,,,,,,,,Matka Boża,statue
n9141673836,"9141673836",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matka Boża,statue
n9144601143,"9144601143",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jezus Chrystus,statue
n9171490652,"9171490652",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Św. Józef,statue
n9171496155,"9171496155",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matka Boża,statue
n9176249150,"9176249150",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pobogosław, Panie naszej polskiej ziemi",,,,,,,2016-06-03,,,,Najświętsze Serce Pana Jezusa,statue
n9176249151,"9176249151",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Św. Jan Chrzciciel,statue
n9176249216,"9176249216",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anioł Stróż,statue
n9192500461,"9192500461",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Obelisk symbolicznie przedstawiający dzieje Kolegiaty św. Marii Magdaleny od jej powstania poprzez kolejne rozbudowy, destrukcje, aż do ostatecznej rozbiórki kościoła.",Piotr Wełniak,,,,2021-10,,,,Zegar Historii,
n9195012989,"9195012989",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roman Strzałkowski,plaque
n9195495733,"9195495733",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matka Boża,statue
n9195495737,"9195495737",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serce Jezusa,statue
n9199099568,"9199099568",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-05-07,,,,Poświęcenie kościoła,plaque
n9205285564,"9205285564",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pawilon wystawowy zwany halą recepcyjną lub westybulem zbudowany na Powszechną Wystawę Krajową w 1929 roku. Ciekawy przykład klasycyzmu akademickiego. Projekt wykonał Roger Sławski (1871-1963), wybitny twórca i ówczesny naczelny architekt Powszechnej...",,,,,,,,,,,Hala recepcyjna,plaque
n9208353345,"9208353345",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dąb Ignacy Jan,stone
n9229606688,"9229606688",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mury miejskie. City wall 1253-1793,,,,,,,,,,,Mury miejskie,plaque
n9229606689,"9229606689",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mury miejskie. City wall 1253-1793,,,,,,,,,,,Mury miejskie,plaque
n9229606691,"9229606691",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mury miejskie. City wall 1253-1793,,,,,,,,,,,Mury miejskie,plaque
n9229606703,"9229606703",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mury miejskie. City wall 1253-1793,,,,,,,,,,,Mury miejskie,plaque
n9229606704,"9229606704",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mury miejskie. City wall 1253-1793,,,,,,,,,,,Mury miejskie,plaque
n9229606705,"9229606705",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mury miejskie. City wall 1253-1793,,,,,,,,,,,Mury miejskie,plaque
n9229649184,"9229649184",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mury miejskie. City wall 1253-1793,,,,,,,,,,,Mury miejskie,plaque
n9229649185,"9229649185",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mury miejskie. City wall 1253-1793,,,,,,,,,,,Mury miejskie,plaque
