full_id,osm_id,osm_type,historic,plaque:type,name2,name1,artwork_type,person:death,person:name,material,width,website,ref:CRFOP,natural,denotation,circumference,inscription:url,layer,tourism,source_ref,flood_mark,flood_date,source:name,url,memorial:type,tower:type,man_made,wikipedia:pl,entrance,location,name:fa,power,backrest,amenity,subject:wikipedia,denomination,tomb,religion,description2,wheelchair:description,wheelchair,toilets:wheelchair,noexit,inscription,image,description,artist_name,wikipedia,wikidata,subject:wikidata,start_date,name:pl,name:en,name:de,name,memorial
n9239047373,"9239047373",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983-04,,,,Dr. Konstancja Swinarska,plaque
n9240109262,"9240109262",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaplica Matki Bożej Fatimskiej,plaque
n9240109263,"9240109263",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teskt przyrzeczenia Matce Bożej Królowej Polski,plaque
n9243915179,"9243915179",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Szkoła-pomnik 1000-lecia,plaque
n9256652755,"9256652755",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9111",,,,,,,,,,,MiG-21,aircraft
n9270328969,"9270328969",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mury miejskie. City wall 1253-1793,,,,,,,,,,,Mury miejskie,plaque
n9274960746,"9274960746",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miejsce pracy ks. dra Czesława Białka,plaque
n9274960748,"9274960748",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mury miejskie. City wall 1253-1793,,,,,,,,,,,Mury miejskie,plaque
n9275183193,"9275183193",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Historia budynków,plaque
n9275183195,"9275183195",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tablica poległych i zmarłych członków Towarzystwa Powstańców i Wojaków im. Franciszka Ratajczaka,plaque
n9275183196,"9275183196",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-11-30,,,,Hipolit Cegielski,plaque
n9275183197,"9275183197",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tablica w języku łacińskim,,,,,,,,,,plaque
n9275183198,"9275183198",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-06-02,,,,Leopold Węgrzynowicz,plaque
n9275183199,"9275183199",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olga Sławska-Lipczyńska / 1915-1991 / Taniec był radością i pasją jej życia,,,,,,,,,,,Olga Sławska-Lipczyńska,plaque
n9275183200,"9275183200",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dawna Szkoła Jezuicka zbudowana w końcu XVIIw., rozbudowana wokół dziedzińca w 2 ćw. XVIIIw. Mieściła się tu pierwsza w Poznaniu Sala Teatralna, 1919-1939 Szkoła sztuk zdobniczych, 1945 zniszczona, 1954-1957 odbudowana.",,,,,,,"1960",,,,Historia budynku,plaque
n9275183201,"9275183201",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1981",,,,540. rocznica założenie Cechu Ślusarzy i Rzemiosł Pokrewnych w Poznaniu,plaque
n9275183202,"9275183202",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odwach,plaque
n9275191521,"9275191521",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mur obwodowy XVI w.,,,,,,,,,,,Mur obwodowy,plaque
n9275191522,"9275191522",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wieża strażnicza z murem obwodowym XIII w.,,,,,,,,,,,Wieża strażnicza,plaque
n9275292157,"9275292157",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Historia kościoła,plaque
n9275292158,"9275292158",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pomnik i dzwon,plaque
n9275292162,"9275292162",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnolia Dwóch Dekad,stone
n9275292163,"9275292163",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pomnik poległych, zamordowanych i zaginionych na Wschodzie w latach 1939-1945",,,,,"2009",,,,"Pomnik poległych, zamordowanych i zaginionych na Wschodzie",
n9340409250,"9340409250",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dawny słup trolejbusowy - pomnik,
n9344468755,"9344468755",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roman Maciejewski,bust
n9565902671,"9565902671",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Szkoła nr 104. Pomnik tysiąc-lecia Państwa Polskiego im. Juliana Marchlewskiego ufundowana przez Centralną Radę Związków Zawodowych i społeczeństwo Poznania,,,,,,,,,,,Szkoła-pomnik 1000-lecia,plaque
n9565902690,"9565902690",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wieczna chwała bohaterom walk o wyzwolenie miatsta Poznania. W tym miejscu 4 lutego 1945 oddał swe młode życie w walce z hitlerowskim najeźdźcą 19-letni Mikołaj Usolcew, oficer Armii Radzieckiej. W X rocznicę wyzwolenia miasta - młodzież Poznania.",,,,,,,"1955",,,,Mikołaj Usolcew,plaque
n9565906418,"9565906418",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dąb pamięci posadzony dla uhonorowania kapitana Edmunda Cezarego Gaussa, ur. 12.12.1905r. w Poznaniu, zamordowanego strzałem w tył głowy przez NKWD w Katyniu w roku 1940",,,,,,,,,,,Dąb Edmunda Cezarego Gaussa,stone
n9566116980,"9566116980",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dąb Absolwenta Wydziału Technologii Drewna Uniwersytetu Przyrodniczego w Poznaniu (...),,,,,,,"2016",,,,Dąb Absolwenta,plaque
n9572680158,"9572680158",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W tym domu 29 września 1988 tymczasowy zarząd regionu Wielkopolska NSZZ Solidarność otworzył jawny ośrodek konsultacyjno-informacyjny,,,,,,,2010-09-29,,,,Miejsce jawnego ośrodka konsultacyjno-informacyjnego NSZZ Solidarność,plaque
n9572680159,"9572680159",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solidarność Walcząca,stone
n9653743909,"9653743909",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""... i te strzały nie były już dane w powietrze, ale do ludzi..."" - fragment mowy mec. Stanisława Hejmowskiego z 16.10.1956 roku / W 60. rocznicę Poznańskiego Czerwca '56 roku Wojewoda Wielkopolski Zbigniew Hoffmann",,,,,,,2016-06-28,,,,60. rocznica Poznańskiego Czerwca 1956,plaque
n9653743910,"9653743910",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof. Andrzej Koszewski,plaque
n9653743911,"9653743911",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Szkoła-pomnik 1000-lecia nr 939,plaque
n9653743912,"9653743912",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-09-26,,,,Witold Pilecki,plaque
n9653743913,"9653743913",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arkady Fiedler,plaque
n9653743914,"9653743914",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"W ""Domu Tramwajarza"" przy ul. Słowackiego w latach 1926-1931 mieszkał generał Józef Haller, który po długiej niewoli w imieniu narodu w lutym 1920 roku dokonał symbolicznego objęcia polskiego Bałtyku. W 85 rocznicę ""Zaślubin z Morzem"", Poznaniacy.",,,,,,,2005-02-10,,,,Miejsce zamieszkania Józefa Hallera,plaque
n9653743915,"9653743915",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof. Jerzy Regulski,plaque
n9653743916,"9653743916",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-26,,,,Sala gimnastyczna im. Wiktora Haglauera,plaque
n9653778522,"9653778522",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ppłk Stanisław Kasznica i ppor. Jan Kasznica,stone
n9653778523,"9653778523",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stefan Borsukiewicz,stone
n9653778526,"9653778526",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hm. Jerzy Chrzanowski,stone
n9654621625,"9654621625",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miejsce narodzin Arkadego Fiedlera,plaque
n9658671885,"9658671885",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1933-08-14,,,,Cokół pomnika Józefa Piłsudskiego,
n9678524707,"9678524707",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ostatni kurs Gracjana
12.04.2021",,,,,,,,,,,Ostatni kurs Gracjana,ghost_bike
n9714617397,"9714617397",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"W roku jubileuszu 30-lecia Szkoły Podstawowej nr 50. Dyrekcja i Społeczność Szkoły oraz Rada Osiedla Żegrze. Poznań, 14.10.2020",,,,,,,2020-10-14,,,,"Dąb ""Generał""",stone
n9714617399,"9714617399",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Szkoła Podstawowa nr 14 im. Władysława Łokietka w Poznaniu,,,,,,,,,,,Szkoła Podstawowa nr 14 im. Władysława Łokietka,plaque
n9714617400,"9714617400",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Teatr letni zbudowany czynem społecznym młodzieży, mieszkańców i zakładów pracy dzielnicy Poznań-Nowe Miasto pod patronatem Związku Młodzieży Socjalistycznej. Poznań, lipiec 1970 r.",,,,,,,1970-07,,,,Teatr letni,plaque
n9730706585,"9730706585",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X. Stanisław Kostka Kinosowicz,plaque
n9730706586,"9730706586",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1856",,,,Pomnik Niepokalanego Poczęcia Marii Panny,
n9730706587,"9730706587",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X. Walenty Zientkiewicz,plaque
n9730706590,"9730706590",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matka Boża z Dzieciątkiem,statue
n9730768225,"9730768225",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matka Boża,statue
n9730768227,"9730768227",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dąb pamięci por. Zenona Szczepańskiego ur. 03.12.1907 w Strzelnie. Zamordowanego strzałem w tył głowy przez NKWD w Charkowie w roku 1940,,,,,,,,,,,Dąb por. Zenona Szczepańskiego,stone
n9739438121,"9739438121",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1986",,,,Prof. Zbyszko Tucholka,stone
n9739438123,"9739438123",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dąb Monument posadzony dnia 22 września 2019 przez uczestników zjazdu zorganizowanego z okazji 100-lecia Koła Leśników Uniwersytetu Przyrodniczego w Poznaniu,,,,,,,2019-09-22,,,,Dąb Monument,plaque
n9739438125,"9739438125",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1960",,,,Dr Stanisław Runge,plaque
n9739438126,"9739438126",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-12-11,,,,Dąb prof. Edwarda Ralskiego,plaque
n9739438128,"9739438128",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siewca - dar społeczeństwa Wielkopolski. Autor Marcin Rożek 1885-1944 zginął w Oświęcimiu. 1979. Odlew wykonany w Z. M. Pomet.,,,,,,,"1979",,,,Marcin Rożek,plaque
n9739438129,"9739438129",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995-06-16,,,,125-lecie studiów rolniczych w Wielkopolsce i 75-lecie akademickich studiów rolniczych i leśnych w Poznaniu,plaque
n9739438138,"9739438138",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dąb pamięci por. Leona Stefana Lebensarta, ur. 09.08.1900 w Dobromilu zamordowanego strzałem w tył głowy przez NKWD w roku 1940",,,,,,,,,,,Dąb por. Leona Stefana Lebensarta,stone
n9739438141,"9739438141",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90 poległym na wiekopomną cześć i chwałę, Gmina Winiary 1923. Poległym w I Wojnie Światowej 1914-1918. Bohaterom poległym na polu chwały 1918-1919. Obrońcom ojczyzny przed najazdem bolszewickim.",,,,,,,2021-10-04,,,,Pomnik Poległych Winiarczyków,
n9739438142,"9739438142",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dąb pamięci Stanisława Bręczewskiego, posterunkowego Policji Państwowej, więźnia Ostaszkowa, ur. 02.10.1911r. w Winiarach, zamordowanego strzałem w tył głowy przez NKWD w kwietniu 1940r.w Twerze",,,,,,,2014-09-19,,,,Dąb Stanisława Bręczewskiego,stone
n9739559601,"9739559601",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lipa srebrzysta posadzona 10 października 2019 z okazji jubileuszu 100-lecia studiów rolniczo-leśnych w Poznaniu przez Stowarzyszenie Absolwentów UPP,,,,,,,,,,,Lipa srebrzysta,plaque
n9739559603,"9739559603",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2021",,,,Dr Tadeusz Krokowski,stone
n9739559604,"9739559604",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-11-26,,,,Dąb dr Tadeusza Krokowskiego,stone
n9739559608,"9739559608",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2010",,,,Dąb Zygmunta Młot-Przepałkowskiego,plaque
n9739559614,"9739559614",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof. Stefan Barbacki,stone
n9744931004,"9744931004",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pamięć o nich pozostanie na zawsze. Społeczeństwo Nowego Miasta.,,,,,,,,,,,Pomnik poległych w walkach o Poznań 1939,
n9747024208,"9747024208",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tablica Bohaterskich Żołnierzy 14. Wielkopolskiej Dywizji Piechoty,plaque
n9747024209,"9747024209",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M. Skrzypczak,,,,,,,,Pomnik pomordowanych w hitlerowskich obozach koncentracyjnych,
n9825583905,"9825583905",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Obiekt sportowo-rekreacyjny wybudowany w czynie społecznym przez komitet mieszkańców Naramowic dla uczczenia 25-lecia PRL. Poznań 1969,,,,,,,,,,,Obiekt wybudowany w czynie społecznym przez komitet mieszkańców Naramowic,
n9825596119,"9825596119",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Głaz ofiar bezsensownych i niszczycielskich wojen,stone
n9856165457,"9856165457",node,memorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drzewa ufundowane i posadzone przez uczniów i absolwentów oraz nauczycieli i pracowników szkoły z okazji Jubileuszu 25-lecia ZSO nr 4 im. ks. prof. J. Tischnera w Poznaniu. Poznań 2017,,,,,,,"2017",,,,Drzewa 25-lecia ZSO nr 4,plaque
