fid;FUNOGBUD_BZPL;FUNSZCZ_BZPL;FUNOGBUD_PL;FUNSZCZ_PL
62843;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
35949;Budynki Muzeow I Bibliotek;Biblioteka;Budynki Muzeów I Bibliotek;Biblioteka
34558;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
47483;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
34559;Budynki O Trzech I Wiecej Mieszkaniach;Apteka, Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Apteka, Budynek Wielorodzinny
70684;Budynki O Trzech I Wiecej Mieszkaniach;Apteka, Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Apteka, Budynek Wielorodzinny
54171;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
28877;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Uslugowy, Restauracja;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny, Pawilon Handlowo Usługowy, Restauracja
39054;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
20310;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
63655;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Gospodarczy, Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Gospodarczy, Budynek Wielorodzinny
53362;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
55272;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
63439;Budynki Szkol I Instytucji Badawczych;Szkola Podstawowa, Szkola Ponadpodstawowa;Budynki Szkół I Instytucji Badawczych;Szkoła Podstawowa, Szkoła Ponadpodstawowa
20582;Budynki O Trzech I Wiecej Mieszkaniach;Budynek Wielorodzinny;Budynki O Trzech I Więcej Mieszkaniach;Budynek Wielorodzinny
